source_url,source_slug,source_page_type,source_word_count,target_url,target_role,cluster,anchor_text,context_snippet,notes
https://www.companydebt.com/case-studies/chinese-takeaway/,chinese-takeaway,informational,1603,/liquidation/creditors-voluntary-liquidation/,spoke,Closure & Liquidation,CVL,ing all of the same exposure plus the additional cost of the failed strike-off attempt. A [[CVL]] was the only clean route. <!-- /wp:ub/content-toggle-panel-blo,
https://www.companydebt.com/articles/the-orla-kiely-fashion-brand-shuts-up-shop/,the-orla-kiely-fashion-brand-shuts-up-shop,informational,444,/liquidation/creditors-voluntary-liquidation/,spoke,Closure & Liquidation,voluntary liquidation,"400;"">The Irish designer, known as the ‘queen of prints,’ said the business was entering [[voluntary liquidation]] “following various challenges the company has faced over the past few years, both in the",
https://www.companydebt.com/liquidation/can-a-supplier-force-my-company-into-liquidation/,can-a-supplier-force-my-company-into-liquidation,informational,3426,/liquidation/creditors-voluntary-liquidation/,spoke,Closure & Liquidation,Creditors' Voluntary Liquidation,s the company under court protection and triggers a moratorium that stops the petition. A [[Creditors' Voluntary Liquidation]] entered before the court hearing gives the director more control over which IP is appoint,
https://www.companydebt.com/liquidation/can-a-supplier-force-my-company-into-liquidation/,can-a-supplier-force-my-company-into-liquidation,informational,3426,/winding-up-petitions/,spoke,Closure & Liquidation,winding-up petition,":paragraph --> What follows: when a supplier can actually use a [[winding-up petition]], what the statutory grounds require, what each step costs the supplier (and why that matt",
https://www.companydebt.com/liquidation/what-happens-if-a-creditor-takes-me-to-court/,what-happens-if-a-creditor-takes-me-to-court,informational,2429,/liquidation/creditors-voluntary-liquidation/,spoke,Closure & Liquidation,CVL,ing. This requires a court application and is not guaranteed. Initiate a [[CVL]] before the hearing date. This converts the closure from creditor-driven to direc,
https://www.companydebt.com/liquidation/what-happens-if-a-creditor-takes-me-to-court/,what-happens-if-a-creditor-takes-me-to-court,informational,2429,/winding-up-petitions/,spoke,Closure & Liquidation,Winding-up petition,"ault judgement or unsatisfied demand evidence [[Winding-up petition]] filed at court (£2,943+ in fees and deposit)",
https://www.companydebt.com/hmrc/what-happens-if-hmrc-rejects-your-time-to-pay-arrangement/,what-happens-if-hmrc-rejects-your-time-to-pay-arrangement,informational,2099,/liquidation/creditors-voluntary-liquidation/,spoke,Closure & Liquidation,CVL,"Company Debt is an insolvency advisory firm. Where we recommend a CVA, Administration, or [[CVL]], we can act as the licensed Insolvency Practitioner under separate engagement. The 0800 n",
https://www.companydebt.com/hmrc/what-happens-if-hmrc-rejects-your-time-to-pay-arrangement/,what-happens-if-hmrc-rejects-your-time-to-pay-arrangement,informational,2099,/winding-up-petitions/,spoke,Closure & Liquidation,winding-up petition,"p:list-item --> Statutory demand, followed by [[winding-up petition]] where the debt exceeds £750 and remains unpaid. <!-- /wp",
https://www.companydebt.com/hmrc/what-happens-if-you-ignore-hmrc-letters/,what-happens-if-you-ignore-hmrc-letters,informational,1743,/liquidation/creditors-voluntary-liquidation/,spoke,Closure & Liquidation,CVL,"onversations directly, model formal-process alternatives, and implement administration or [[CVL]] where the underlying business cannot absorb the tax bill. Call us free on 0800 074 6757 f",
https://www.companydebt.com/hmrc/what-happens-if-you-ignore-hmrc-letters/,what-happens-if-you-ignore-hmrc-letters,informational,1743,/winding-up-petitions/,spoke,Closure & Liquidation,winding-up petition,"tem --> Statutory demand, 21 days, leading to [[winding-up petition]]. COP9 CDF offer,",
https://www.companydebt.com/hmrc/can-hmrc-shut-down-my-business/,can-hmrc-shut-down-my-business,informational,2227,/liquidation/creditors-voluntary-liquidation/,spoke,Closure & Liquidation,CVL,"ts can assess the position, negotiate with HMRC directly, and implement administration or [[CVL]] where those are the right answers. Call us free on 0800 074 6757 for immediate confidenti",
https://www.companydebt.com/hmrc/can-hmrc-shut-down-my-business/,can-hmrc-shut-down-my-business,informational,2227,/winding-up-petitions/,spoke,Closure & Liquidation,winding-up petition,"full HMRC business-closure pathway, the warning letters and notices that precede it, the [[winding-up petition]] route, the section 127 bank-account freeze effect, and the specific damage-limitation mov",
https://www.companydebt.com/hmrc/what-happens-if-hmrc-sends-bailiffs-to-a-business/,what-happens-if-hmrc-sends-bailiffs-to-a-business,informational,1620,/liquidation/creditors-voluntary-liquidation/,spoke,Closure & Liquidation,CVL,"olvency, we can act as the licensed Insolvency Practitioner for a CVA, Administration, or [[CVL]] under separate engagement. The 0800 number is a free confidential consultation. <!--",
https://www.companydebt.com/hmrc/what-happens-if-hmrc-sends-bailiffs-to-a-business/,what-happens-if-hmrc-sends-bailiffs-to-a-business,informational,1620,/winding-up-petitions/,spoke,Closure & Liquidation,winding-up petition,item --> Produces asset realisation without the expense and delay of [[winding-up petition]] proceedings. Often resolve,
https://www.companydebt.com/hmrc/what-happens-if-hmrc-freezes-your-business-bank-account/,what-happens-if-hmrc-freezes-your-business-bank-account,informational,2383,/liquidation/creditors-voluntary-liquidation/,spoke,Closure & Liquidation,CVL,"y, we can act as the licensed Insolvency Practitioner for a recommended administration or [[CVL]] under separate engagement. AFO situations require specialist solicitor involvement alongs",
https://www.companydebt.com/hmrc/what-happens-if-hmrc-freezes-your-business-bank-account/,what-happens-if-hmrc-freezes-your-business-bank-account,informational,2383,/winding-up-petitions/,spoke,Closure & Liquidation,winding-up petition,"separate route, section 127 of the Insolvency Act 1986, produces a de facto freeze when a [[winding-up petition]] is advertised in The Gazette. Banks stop processing company transactions because any post",
